nms_iou,conf,precision,recall,f1
0.5,0.5856,0.9393,0.9239,0.9315
0.5,0.5906,0.9391,0.9206,0.9298
0.5,0.5956,0.9389,0.9174,0.928
0.5,0.6006,0.9387,0.9142,0.9263
0.5,0.6056,0.9385,0.9109,0.9245
0.5,0.6106,0.9381,0.9049,0.9212
0.5,0.6156,0.9377,0.8985,0.9177
0.5,0.6206,0.9374,0.8939,0.9151
0.5,0.6256,0.9372,0.8909,0.9135
0.5,0.6306,0.937,0.8879,0.9118
0.5,0.6356,0.9368,0.885,0.9101
0.5,0.6406,0.9366,0.882,0.9085
0.5,0.6456,0.9361,0.8747,0.9043
0.5,0.6507,0.9354,0.864,0.8983
0.5,0.6557,0.9347,0.8551,0.8931
0.5,0.6607,0.9342,0.8482,0.8891
0.5,0.6657,0.9339,0.8432,0.8862
0.5,0.6707,0.9335,0.8383,0.8833
0.5,0.6757,0.9321,0.8194,0.8721
0.5,0.6807,0.9311,0.8067,0.8645
0.5,0.6857,0.9401,0.806,0.8679
0.5,0.6907,0.9473,0.8041,0.8698
0.5,0.6957,0.9468,0.7965,0.8651
0.5,0.7007,0.9457,0.7761,0.8526
0.5,0.7057,0.9487,0.7761,0.8538
0.5,0.7107,0.9517,0.7761,0.855
0.5,0.7157,0.9546,0.7761,0.8562
0.5,0.7207,0.9576,0.7761,0.8574
0.5,0.7257,0.9606,0.7761,0.8586
0.5,0.7307,0.9629,0.7739,0.8581
0.5,0.7357,0.9623,0.7628,0.8511
0.5,0.7407,0.9619,0.7529,0.8446
0.5,0.7457,0.9607,0.7298,0.8295
0.5,0.7508,0.9788,0.6908,0.81
0.5,0.7558,1.0,0.6539,0.7908
0.5,0.7608,1.0,0.6311,0.7739
0.5,0.7658,1.0,0.597,0.7477
0.5,0.7708,1.0,0.591,0.7429
0.5,0.7758,1.0,0.585,0.7382
0.5,0.7808,1.0,0.5701,0.7262
0.5,0.7858,1.0,0.5558,0.7145
0.5,0.7908,1.0,0.5383,0.6999
0.5,0.7958,1.0,0.4767,0.6456
0.5,0.8008,1.0,0.4119,0.5834
0.5,0.8058,1.0,0.3647,0.5345
0.5,0.8108,1.0,0.3138,0.4777
0.5,0.8158,1.0,0.2338,0.3791
0.5,0.8208,1.0,0.2032,0.3378
0.5,0.8258,1.0,0.1945,0.3257
0.5,0.8308,1.0,0.1627,0.2799
0.5,0.8358,1.0,0.1575,0.2722
0.5,0.8408,1.0,0.1524,0.2644
0.5,0.8458,1.0,0.1192,0.2131
0.5,0.8509,1.0,0.112,0.2014
0.5,0.8559,1.0,0.1047,0.1895
0.5,0.8609,1.0,0.0753,0.14
0.5,0.8659,1.0,0.0292,0.0568
0.5,0.8709,1.0,0.021,0.0412
0.5,0.8759,1.0,0.0,0.0
0.5,0.8809,1.0,0.0,0.0
0.5,0.8859,1.0,0.0,0.0
0.5,0.8909,1.0,0.0,0.0
0.5,0.8959,1.0,0.0,0.0
0.5,0.9009,1.0,0.0,0.0
0.5,0.9059,1.0,0.0,0.0
0.5,0.9109,1.0,0.0,0.0
0.5,0.9159,1.0,0.0,0.0
0.5,0.9209,1.0,0.0,0.0
0.5,0.9259,1.0,0.0,0.0
0.5,0.9309,1.0,0.0,0.0
0.5,0.9359,1.0,0.0,0.0
0.5,0.9409,1.0,0.0,0.0
0.5,0.9459,1.0,0.0,0.0
0.5,0.951,1.0,0.0,0.0
0.5,0.956,1.0,0.0,0.0
0.5,0.961,1.0,0.0,0.0
0.5,0.966,1.0,0.0,0.0
0.5,0.971,1.0,0.0,0.0
0.5,0.976,1.0,0.0,0.0
0.5,0.981,1.0,0.0,0.0
0.5,0.986,1.0,0.0,0.0
0.5,0.991,1.0,0.0,0.0
0.5,0.996,1.0,0.0,0.0
0.6,0.0,0.4653,1.0,0.6351
0.6,0.005,0.7396,0.9851,0.8449
0.6,0.01,0.8197,0.9851,0.8948
0.6,0.015,0.8334,0.9851,0.9029
0.6,0.02,0.8501,0.9851,0.9127
0.6,0.025,0.8608,0.9851,0.9187
0.6,0.03,0.8691,0.9851,0.9235
0.6,0.035,0.8781,0.9851,0.9285
0.6,0.04,0.8817,0.9851,0.9306
0.6,0.045,0.8839,0.9851,0.9318
0.6,0.0501,0.8861,0.9851,0.933
0.6,0.0551,0.8883,0.9851,0.9342
0.6,0.0601,0.8905,0.9851,0.9354
0.6,0.0651,0.8951,0.9851,0.9379
0.6,0.0701,0.9033,0.9851,0.9424
0.6,0.0751,0.9048,0.9851,0.9432
0.6,0.0801,0.9056,0.9851,0.9437
0.6,0.0851,0.9063,0.9851,0.9441
0.6,0.0901,0.9071,0.9851,0.9445
0.6,0.0951,0.9079,0.9851,0.9449
0.6,0.1001,0.9087,0.9851,0.9453
0.6,0.1051,0.9094,0.9851,0.9457
0.6,0.1101,0.9102,0.9851,0.9462
0.6,0.1151,0.911,0.9851,0.9466
0.6,0.1201,0.9118,0.9851,0.947
0.6,0.1251,0.9125,0.9851,0.9474
0.6,0.1301,0.9133,0.9851,0.9478
0.6,0.1351,0.9141,0.9851,0.9482
0.6,0.1401,0.9148,0.9851,0.9487
0.6,0.1451,0.9156,0.9851,0.9491
0.6,0.1502,0.9164,0.9851,0.9495
0.6,0.1552,0.9181,0.9851,0.9504
0.6,0.1602,0.9204,0.9851,0.9516
0.6,0.1652,0.9227,0.9851,0.9528
0.6,0.1702,0.9249,0.9851,0.9541
0.6,0.1752,0.9272,0.9851,0.9553
0.6,0.1802,0.9295,0.9851,0.9565
0.6,0.1852,0.9296,0.9848,0.9564
0.6,0.1902,0.9295,0.9845,0.9562
0.6,0.1952,0.9295,0.9842,0.9561
0.6,0.2002,0.9295,0.9838,0.9559
0.6,0.2052,0.9295,0.9835,0.9557
0.6,0.2102,0.9295,0.9832,0.9556
0.6,0.2152,0.9294,0.9829,0.9554
0.6,0.2202,0.9294,0.9826,0.9553
0.6,0.2252,0.9294,0.9823,0.9551
0.6,0.2302,0.9294,0.982,0.955
0.6,0.2352,0.9293,0.9817,0.9548
0.6,0.2402,0.9293,0.9814,0.9546
0.6,0.2452,0.9293,0.9811,0.9545
0.6,0.2503,0.9293,0.9807,0.9543
0.6,0.2553,0.9293,0.9804,0.9542
0.6,0.2603,0.9292,0.9801,0.954
0.6,0.2653,0.9292,0.9798,0.9539
0.6,0.2703,0.9292,0.9795,0.9537
0.6,0.2753,0.9292,0.9792,0.9535
0.6,0.2803,0.9292,0.9789,0.9534
0.6,0.2853,0.9291,0.9786,0.9532
0.6,0.2903,0.9291,0.9783,0.9531
0.6,0.2953,0.9291,0.978,0.9529
0.6,0.3003,0.9291,0.9777,0.9527
0.6,0.3053,0.9291,0.9773,0.9526
0.6,0.3103,0.929,0.977,0.9524
0.6,0.3153,0.929,0.9767,0.9523
0.6,0.3203,0.929,0.9764,0.9521
0.6,0.3253,0.929,0.9761,0.952
0.6,0.3303,0.929,0.9758,0.9518
0.6,0.3353,0.9289,0.9755,0.9516
0.6,0.3403,0.9289,0.9752,0.9515
0.6,0.3453,0.9289,0.9749,0.9513
0.6,0.3504,0.9289,0.9746,0.9512
0.6,0.3554,0.9288,0.9742,0.951
0.6,0.3604,0.9288,0.9739,0.9508
0.6,0.3654,0.9288,0.9736,0.9507
0.6,0.3704,0.9288,0.9733,0.9505
0.6,0.3754,0.9288,0.973,0.9504
0.6,0.3804,0.9287,0.9727,0.9502
0.6,0.3854,0.9287,0.9724,0.9501
0.6,0.3904,0.9287,0.9721,0.9499
0.6,0.3954,0.9287,0.9718,0.9497
0.6,0.4004,0.9287,0.9715,0.9496
0.6,0.4054,0.9286,0.9711,0.9494
0.6,0.4104,0.9286,0.9708,0.9493
0.6,0.4154,0.9286,0.9705,0.9491
0.6,0.4204,0.9286,0.9702,0.9489
0.6,0.4254,0.9285,0.9696,0.9486
0.6,0.4304,0.9285,0.9689,0.9483
0.6,0.4354,0.9284,0.9683,0.9479
0.6,0.4404,0.9284,0.9676,0.9476
0.6,0.4454,0.9283,0.9669,0.9472
0.6,0.4505,0.9283,0.9662,0.9469
0.6,0.4555,0.9283,0.9655,0.9465
0.6,0.4605,0.9282,0.9649,0.9462
0.6,0.4655,0.9282,0.9642,0.9458
0.6,0.4705,0.9281,0.9635,0.9455
0.6,0.4755,0.9281,0.9628,0.9451
0.6,0.4805,0.928,0.9621,0.9448
0.6,0.4855,0.928,0.9615,0.9444
0.6,0.4905,0.9279,0.9608,0.9441
0.6,0.4955,0.9279,0.9601,0.9437
0.6,0.5005,0.9278,0.9594,0.9434
0.6,0.5055,0.9278,0.9587,0.943
0.6,0.5105,0.9277,0.9581,0.9427
0.6,0.5155,0.9277,0.9574,0.9423
0.6,0.5205,0.9276,0.9567,0.9419
0.6,0.5255,0.9276,0.956,0.9416
0.6,0.5305,0.9275,0.9553,0.9412
0.6,0.5355,0.9273,0.9516,0.9393
0.6,0.5405,0.927,0.9473,0.937
0.6,0.5455,0.9267,0.943,0.9348
0.6,0.5506,0.9264,0.9394,0.9328
0.6,0.5556,0.9262,0.937,0.9316
0.6,0.5606,0.926,0.9345,0.9303
0.6,0.5656,0.9259,0.9321,0.929
0.6,0.5706,0.9257,0.9297,0.9277
0.6,0.5756,0.9255,0.9272,0.9264
0.6,0.5806,0.9297,0.9254,0.9275
0.6,0.5856,0.9393,0.9239,0.9315
0.6,0.5906,0.9391,0.9206,0.9298
0.6,0.5956,0.9389,0.9174,0.928
0.6,0.6006,0.9387,0.9142,0.9263
0.6,0.6056,0.9385,0.9109,0.9245
0.6,0.6106,0.9381,0.9049,0.9212
